Name,Category,Type,Price Range,Rating,No of Reviews,Description,Address,Latitude,Longitude
Row 34,Dining,Seafood,$$$,4.5,1705, Industrial chic spot for oysters & beer,383 Congress St  ,42.349607,-71.047641
Craigie On Main,Dining,French,$$$$,4.6,524, Celebrated spot for inspired bistro fare,853 Main St  ,42.363467,-71.098519
QDOBA Mexican Eats,Dining,Mexican,$,4.1,549, Counter serve Mexican chain,393 Huntington Ave Ste 101  ,42.339794,-71.090884
Legal Sea Foods,Dining,Seafood,$$$,4.1,812, Upscale seafood chain with cocktails,100 Huntington Ave  ,42.347191,-71.078025
The Gallows,Dining,New American,$$,4.4,643, Contemporary comfort food & cocktails,1395 Washington St  ,42.341388,-71.070213
Myers+Chang,Dining,Chinese,$$,4.5,806, Inventive Asian small plates,1145 Washington St  ,42.343927,-71.066241
The Salty Pig,Dining,Italian,$$,4.5,1151, Pork obsessed bistro with small plates,130 Dartmouth St  ,42.346797,-71.076101
El Centro Mexican Restaurant,Dining,Mexican,$$,4.4,298, Small spot specializing in regional fare,472 Shawmut Ave  ,42.338587,-71.075901
Meritage Restaurant,Dining,Restaurant,$$$,4.8,79, Wine & food pairings with a harbor view,70 Rowes Wharf  ,42.355924,-71.050166
Chutneys,Dining,Indian,$,3.9,256, Counter serve stop for fast Indian fare,334 Massachusetts Avenue Intersection of Mass and Huntington Ave  ,42.342825,-71.085045
Dig Inn,Dining,New American,$,4.4,501, Friendly fast casual farm to table chain,557 Boylston St  ,42.350721,-71.076175
Pammy's,Dining,New American,$$$,4.7,306," Charming, hip trattoria for pasta & more",928 Massachusetts Ave  ,42.330105,-71.069437
Regina Pizzeria,Dining,Pizza,$$,4.6,2865, Veteran chain for brick oven pizzas,11 1/2 Thacher St  ,42.365467,-71.056901
Sweet Cheeks Q,Dining,Barbecue,$$,4.4,1036, Casual yet creative family style BBQ,1381 Boylston St  ,42.343816,-71.101401
City Table,Dining,American,$$,4.2,89, Casual New American dining & cocktails,"3505, 65 Exeter St  ",42.349052,-71.079392
Legal Sea Foods,Dining,Seafood,$$$,4.3,1161, Upscale seafood chain with cocktails,26 Park Plaza  ,42.351381,-71.069101
No.9 Park,Dining,French,$$$$,4.6,312, Euro inspired fare in an elegant setting,9 Park St  ,42.357637,-71.062791
Little Donkey,Dining,Tapas,$$$,4.5,1216, Hip spot for unique global small plates,"4018, 505 Massachusetts Ave  ",42.364316,-71.101591
Fiouna's Restaurant,Dining,Persian,$$,4.1,214, Informal cafe for Middle Eastern dishes,90 Peterborough St  ,42.343092,-71.099031
Petit Robert Bistro,Dining,French,$$,4.3,257, Classic fare in a Parisian atmosphere,"02118, 480 Columbus Ave  ",42.342915,-71.078695
Ali's Roti Restaurant,Dining,Caribbean,$$,4.3,149," Hearty, counter serve West Indian food",1035 Tremont St  ,42.336677,-71.085631
Citrus & Salt Boston,Dining,Mexican,$$$,4.3,404, Funky Mexican food & lots of tequila,142 Berkeley St  ,42.348841,-71.072111
75 Chestnut,Dining,American,$$,4.4,290, Quaint bistro with comfort food,75 Chestnut St  ,42.356915,-71.070972
Red Lantern Restaurant & Lounge,Dining,Asian,$$$,4.2,496, Stylish lounge with Pan Asian dishes,39 Stanhope St  ,42.348503,-71.073341
Darryl's Corner Bar & Kitchen,Dining,Soul,$$,4.3,678, Southern cooking & live jazz,604 Columbus Ave  ,42.339767,-71.082401
Shun's Kitchen,Dining,Chinese,$$,4.4,223, Pan Asian restaurant with lunch specials,520 Columbus Ave  ,42.341907,-71.079781
Oleana,Dining,Mediterranean,$$$,4.7,805, Memorable Eastern Mediterranean menus,134 Hampshire St  ,42.370559,-71.097124
Clover Food Lab,Dining,Fast Food,$,4.6,251, Quick & casual stop for seasonal fare,360 Longwood Ave  ,42.339005,-71.107696
The Paramount,Dining,American,$$,4.3,1082, Casual American comfort food eatery,44 Charles St  ,42.357258,-71.070271
Neptune Oyster,Dining,Seafood,$$$,4.4,1816," Intimate, popular seafood spot",63 Salem St # 1  ,42.363247,-71.055941
QDOBA Mexican Eats,Dining,Mexican,$,4.2,154, Counter serve Mexican chain,540 Commonwealth Avenue  ,42.348509,-71.096726
Thaitation,Dining,Thai,$$,4.2,208, Cozy cafe serving spicy Thai dishes,129 Jersey St  ,42.342337,-71.096951
Bistro du Midi,Dining,French,$$$,4.4,359, Upscale Provençal fare in elegant rooms,272 Boylston St  ,42.351813,-71.069771
Bostonia Public House,Dining,New England,$$,4.4,1316, Lively New England eatery & bar,131 State St  ,42.359177,-71.054293
Vejigantes Restaurant,Dining,Puerto Rican,$$,4.3,943, Puerto Rican spot plating surf 'n' turf,57 W Dedham St  ,42.342237,-71.072871
Legal Crossing,Dining,Seafood,$$$,4.3,626, Upscale seafood chain with cocktails,558 Washington St  ,42.353396,-71.061981
Douzo Sushi,Dining,Japanese,$$,4.4,518, Chic hot spot for sushi & cocktails,131 Dartmouth St  ,42.346597,-71.075359
Café du Pays,Dining,Canadian,$$,4.5,139, French Canadian cuisine in homey space,233 Cardinal Medeiros Ave  ,42.367666,-71.091074
Eddie V's Prime Seafood,Dining,Seafood,$$$$,4.3,33," Elegant, upscale steak & seafood pick",122 Belvidere St  ,42.346277,-71.082801
Shojo,Dining,Asian,$$,4.4,617, Asian gastropub with adventurous menu,9 Tyler St  ,42.351102,-71.060791
Moby Dick of Boston,Dining,Persian,$,3.7,115, Persian plates in counter serve digs,269 Huntington Ave  ,42.342196,-71.086242
O Ya,Dining,Authentic Japanese,$$$$,4.6,302," Innovative, refined sushi & small plates",9 East St  ,42.351367,-71.056941
Stella Restaurant,Dining,Italian,$$,4.5,328, Stylish option for seasonal Italian fare,1525 Washington St  ,42.339896,-71.072612
Mamaleh's Delicatessen,Dining,Jewish,$$,4.4,917, Hip Jewish deli with take out area,"One Kendall Square, 15 Hampshire St  ",42.370567,-71.026964
Uno Pizzeria & Grill,Dining,Pizza,$$,4,617, Chain spot known for deep dish pizza,731 Boylston St  ,42.349606,-71.080293
Sidebar,Dining,American,$$,4,25, American fare in a contemporary hotel,39 Dalton St  ,42.346587,-71.083841
The Westland,Dining,American,$$,4.1,86, American restaurant & bar,10 Westland Ave  ,42.343217,-71.086561
Blaze Pizza,Dining,Pizza,$,4.4,540," Hip spot for crispy, creative pies",123 Stuart St  ,42.351396,-71.065731
Tapestry,Dining,New American,$$,4.2,165, Eclectic eatery with tropical vibes,69 Kilmarnock St  ,42.342597,-71.099531
FiRE+iCE,Dining,American,$$,4.3,2068, Volcanic stone cookery & draft beers,205 Berkeley St  ,42.350667,-71.072491
Bonchon Chicken,Dining,Korean,$$,4.5,910, Korean fried chicken specialist,123 Brighton Ave  ,42.352747,-71.131812
The Daily Catch,Dining,Seafood,$$,4.4,808, Informal mainstay for Sicilian cooking,323 Hanover St  ,42.364067,-71.053991
Mamma Maria,Dining,Italian,$$$,4.7,503, Italian fine dining in a romantic space,3 N Square  ,42.364087,-71.053311
Cafeteria Boston,Dining,American,$$,4,458, Hipster haunt with updated comfort food,279a Newbury St  ,42.349397,-71.084011
Dumpling Palace,Dining,Chinese,$,3.7,429," Unfussy nook for Chinese fare, open late",179 Massachusetts Ave  ,42.345732,-71.087311
India Quality,Dining,Indian,$$,3.9,460, Humble mainstay for Indian staples,484 Commonwealth Avenue #235  ,42.348557,-71.094221
Veggie Galaxy,Dining,Vegetarian,$$,4.6,2164, Retro diner with a meatless menu,450 Massachusetts Ave  ,42.339831,-71.080588
Ocean Prime,Dining,Seafood,$$$,4.6,777, Upscale spot for steak & seafood,140 Seaport Blvd  ,42.351307,-71.043198
Eventide Fenway,Dining,Oyster Bar,$$,4.3,451, Super hip oysters & funky seafood spot,1321 Boylston St  ,42.344661,-71.099512
Lincoln Tavern & Restaurant,Dining,American,$$,4.4,892, Modern American fare with a pub vibe,425 W Broadway  ,42.336319,-71.047636
Coda,Dining,American,$$,4.3,265, Standby for comfort cuisine & craft beer,329 Columbus Ave  ,42.346307,-71.075081
Cheers,Dining,American,$$,4.3,3521, Tourist attraction with pub grub,84 Beacon St  ,42.355999,-71.071301
Cinquecento Roman Trattoria,Dining,Italian,$$$,4.4,388, Upscale Italian fare in an intimate spot,500 Harrison Ave  ,42.341917,-71.065921
Ma Maison,Dining,French,$$,4.5,251, Classic French fare in elegant environs,272 Cambridge St  ,42.360967,-71.067951
Papa Razzi Boston,Dining,Restaurant,$$,4.3,641, Family friendly Italian trattoria & bar,159 Newbury St  ,42.350887,-71.078621
ShabuMaru,Dining,Japanese,$$,4.2,118," Japanese hot pots in sleek, modern space",10 Huntington Ave  ,42.348562,-71.077315
Bootleg Special,Dining,Seafood,$$,4.3,279, Cajun seafood boils & more Southern eats,400 Tremont St  ,42.347204,-71.068448
Scampo,Dining,Italian,$$$,4.4,284, Italian food in a chic former jailhouse,215 Charles St  ,42.361985,-71.070176
Popeyes Louisiana Kitchen,Dining,Chicken,$,3.8,67, Fast food fried chicken chain,"Northeastern University, 360 Huntington Ave  ",42.370567,-71.026964
Casa Romero,Dining,Mexican,$$,4.4,403, Hideaway with upscale Mexican cooking,30 Gloucester St  ,42.349461,-71.084499
James Hook & Co,Dining,Seafood,$$,4.5,1628, Seafood shack known for lobster,440 Atlantic Ave  ,42.354956,-71.050913
Uno Pizzeria & Grill,Dining,Pizza,$$,3.8,482, Chain spot known for deep dish pizza,645 Beacon St  ,42.348357,-71.097701
California Pizza Kitchen at Prudential,Dining,Pizza,$$,3.9,509, Restaurant chain known for creative pies,800 Boylston St #155  ,42.346277,-71.082801
Tres Gatos,Dining,Tapas,$$,4.6,388, Spanish tapas plus music & books,"2056, 470 Centre St  ",42.319066,-71.111635
Tico Boston,Dining,Restaurant,$$,4,382, Latin American small plates,222 Berkeley St  ,42.350857,-71.073111
Back Bay Social,Dining,American,$$,4,542, Sophisticated American grub & cocktails,867 Boylston St  ,42.348757,-71.083446
Solas Irish Pub,Dining,Irish,$,4,182, Traditional fare with a patio,710 Boylston St  ,42.349147,-71.079621
Ashur Restaurant,Dining,Halal,$$,4.4,219, Low key African & Middle Eastern dining,291 Roxbury St  ,42.330427,-71.094301
Sichuan Gourmet,Dining,Sichuan,$$,4.3,434, Dishes bringing on the spice,1006 Beacon St  ,42.346319,-71.107214
Waypoint,Dining,Seafood,$$$,4.5,534, Creative coastal cuisine & absinthe bar,1030 Massachusetts Ave  ,42.327768,-71.067249
Legal Sea Foods,Dining,Seafood,$$$,4.2,1180, Upscale seafood chain with cocktails,355 Main St  ,42.362603,-71.087809
Forty Dalton,Dining,American,$$,3.9,11, American restaurant & bar in the Hilton,40 Dalton St  ,42.346467,-71.085261
Joe's American Bar & Grill,Dining,American,$$,4.2,1247, Family friendly bar & grill chain,181 Newbury St  ,42.350667,-71.079561
Cafe Sushi,Dining,Sushi,$$,4.6,673, Longtime haunt for innovative rolls,1105 Massachusetts Ave  ,42.325961,-71.066438
Cappy's Pizza & Subs,Dining,Pizza,$,3.7,225," Counter serve pizza, burgers & breakfast",82 Westland Ave  ,42.343785,-71.089681
Toscano,Dining,Italian,$$$,4.4,327, Venerable spot for elegant Tuscan dining,47 Charles St  ,42.357424,-71.069847
Dig Inn,Dining,New American,$,4.3,92, Friendly fast casual farm to table chain,"Next to Saks, Fifth Avenue, 800 Boylston St  ",42.370567,-71.026964
Stephanie's On Newbury,Dining,American,$$$,4.1,980, Chic hot spot for brunch & patio dining,190 Newbury St  ,42.350185,-71.079591
El Pelón Taqueria,Dining,Mexican,$,4.5,863, Mexican street eats near Fenway,92 Peterborough St  ,42.343152,-71.098842
Metropolis,Dining,Mediterranean,$$,4.5,131, Cozy bistro with inventive menus,584 Tremont St  ,42.343275,-71.072511
Sportello,Dining,Italian,$$$,4.4,354, Creative Italian dishes & baked goods,348 Congress St  ,42.350727,-71.048541
Clover Food Lab,Dining,Fast Food,$,4.4,678, Quick & casual stop for seasonal fare,5 Cambridge Center  ,42.361225,-71.068962
Pita Restaurants,Dining,Mediterranean,$,4.4,77, Low key stop for Mediterranean fare,473 Albany St  ,42.339771,-71.064999
Busy Bee Restaurant & Diner,Dining,American,$,4.5,245, Classic diner with a big menu,1046 Beacon St  ,42.345882,-71.108878
Dillon's,Dining,American,$$,3.9,469, Spacious bar with elevated American chow,955 Boylston St  ,42.348031,-71.085933
Thai Basil Restaurant,Dining,Thai,$$,4.2,435, Traditional fare in a no frills setting,132 Newbury St  ,42.350937,-71.076681
Nicoles South End,Dining,Pizza,$,4.1,151, No frills spot for pizza & casual fare,639 Tremont St  ,42.342347,-71.075141
The Palm Boston,Dining,Fine Dining,$$$$,4.4,322, Upscale steakhouse chain founded in 1926,1 International Place #190  ,42.355877,-71.052561
Blaze Pizza,Dining,Pizza,$,4.4,774, Customizable pies in contemporary digs,1 Canal Park  ,42.364488,-71.059161
Legal Harborside,Dining,Seafood,$$$,4.4,2220, Upscale seafood chain with cocktails,270 Northern Ave  ,42.348654,-71.037792
ZC Boston,Dining,Asian,$$,4.3,354, Chinese & Japanese eats in modern digs,801 Massachusetts Ave  ,42.333062,-71.073236
Flames Restaurant II,Dining,Jamaican,$,4.2,289, Big portions of spicy Caribbean dishes,746 Huntington Ave  ,42.333647,-71.105491
Precinct Kitchen + Bar,Dining,American,$$,4.3,339, Modern American dining in Loews Hotel,154 Berkeley St  ,42.349176,-71.072433
Morton's The Steakhouse,Dining,Restaurant,$$$$,4.5,429, High end chain for prime beef & seafood,2 Seaport Ln  ,42.348945,-71.040844
Chipotle Mexican Grill,Dining,Mexican,$,4.1,265, Chain for build your own Mexican fare,148 Brookline Ave  ,42.344586,-71.100657
B.GOOD,Dining,Health Food,$$,4.2,161, Health minded takes on fast food,359 Huntington Ave  ,42.340321,-71.090333
Crazy Dough's Pizza,Dining,Pizza,$$,3.9,52," Fire grilled pies, plus wings & salads",800 Boylston St  ,42.346277,-71.082801
The Old Havana Cuban Restaurant,Dining,Cuban,$,4.4,180, Informal choice for homestyle Cuban eats,349 Centre St  ,42.294424,-71.058689
Kashmir Restaurant,Dining,Indian,$$,3.7,651, Posh Indian mainstay with lunch buffet,279 Newbury St  ,42.349397,-71.084011
Raising Cane's Chicken Fingers,Dining,Fast Food,$,4.5,890, Fast food chain for fried chicken combos,949 Commonwealth Avenue  ,42.351905,-71.118711
Capo Restaurant & Supper Club,Dining,Italian,$$,4.4,541, Italian American comfort & cocktails,443 W Broadway  ,42.336076,-71.047021
Equator,Dining,Thai,$$,4,129, Inviting Thai eatery with eclectic menu,"1805, 1721 Washington St  ",42.336884,-71.076672
Chipotle Mexican Grill,Dining,Mexican,$,4.1,450, Chain for build your own Mexican fare,553 Boylston St  ,42.350746,-71.076089
Blaze Pizza,Dining,Pizza,$,4.4,285, Hip chain of fast crisped pizzas,961 Commonwealth Avenue  ,42.351937,-71.119081
Desfina Restaurant,Dining,Greek,$$,4.3,289, Cozy Greek taverna & seafood grill,202 Third St  ,42.339283,-71.049208
Popeyes Louisiana Kitchen,Dining,Chicken,$,3.9,553, Fast food fried chicken chain,21 Brookline Ave  ,42.348227,-71.097711
El Oriental De Cuba,Dining,Cuban,$$,4.6,851, Local standby for Cuban favorites,416 Centre St  ,42.295153,-71.057065
Yankee Lobster,Dining,Seafood,$$,4.4,1831, Fresh seafood shack with outdoor seating,300 Northern Ave  ,42.348035,-71.035837
Ali Baba Restaurant Boston,Dining,Halal,$$,4.3,542, Turkish staples in unfussy digs,145 East Berkeley Street  ,42.343535,-71.064858
Aquitaine,Dining,French,$$,4.3,346, Traditional Parisian style bistro,569 Tremont St  ,42.343819,-71.072352
Noodle Street,Dining,Noodle Shop,$$,4.2,136, Fast go to for spicy soups & stir fries,627 Commonwealth Avenue  ,42.349791,-71.101611
Rock Bottom Restaurant & Brewery,Dining,Restaurant,$$,3.9,412, Upmarket brewpub chain wth American fare,115 Stuart St  ,42.351395,-71.065483
Shabu,Dining,Hot Pot,$$,4.5,683, Busy Japanese hot pot specialist,80 Brighton Ave  ,42.352437,-71.129001
Hard Rock Cafe,Dining,American,$$,4.1,1541, Music themed chain with an American menu,22 Clinton St  ,42.360897,-71.054981
Glass House,Dining,New American,$$,4.2,444," Modern American dining, raw bar & cafe",450 Kendall St  ,42.363321,-71.081491
Kings Dining & Entertainment,Dining,American,$$,4,716, Retro style bowling alley & lounge,50 Dalton St  ,42.347082,-71.085644
Parker's Restaurant,Dining,New England,$$$,4.3,118, New England fine dining in a posh hotel,60 School St  ,42.357795,-71.060111
Abigail's Restaurant,Dining,American,$$,4.2,267, Eclectic American eatery & bar,291 Third St  ,42.337701,-71.047241
wagamama seaport,Dining,Restaurant,$$,4.1,310, Bustling Japanese canteen chain,"1802, 100 Northern Ave  ",42.352662,-71.043505
Bertucci's Italian Restaurant,Dining,Italian,$$,3.9,305, Relaxed chain for pizza & Italian fare,1 Blackfan Cir  ,42.338401,-71.104895
Figs,Dining,Pizza,$$,4.3,294," Intimate, gourmet pizzeria",42 Charles St  ,42.357251,-71.070196
Bangkok Pinto,Dining,Thai,$,4.5,112, Quick serve standby for Thai cuisine,1041 Tremont St  ,42.336616,-71.085749
Empire,Dining,Pan Asian,$$$,4.3,757, Classic & contemporary Chinese cuisine,1 Marina Park Drive  ,42.353233,-71.045411
FuGaKyu Japanese Cuisine,Dining,Japanese,$$,4.3,629, Traditional & nouveau Japanese cuisine,1280 Beacon St  ,42.342872,-71.119355
P & R Restaurant,Dining,Jamaican,$$,4,123,Asian & Spanish inspired small plates,208 Dudley St  ,42.328647,-71.081051
Au Bon Pain,Dining,Restaurant,$$,3.7,39, Bakery/cafe chain for soups & sandwiches,"Tufts Medical Center, 800 Washington St  ",42.313268,-71.049377
Parsnip Restaurant,Dining,Restaurant,$$$,4.3,64, Polished global cuisine & cocktails,91 Winthrop St  ,42.370207,-71.039601
Rowes Wharf Sea Grille,Dining,Restaurant,$$$,4.2,151, Harborside seafood & afternoon tea,70 Rowes Wharf  ,42.355924,-71.050166
Wendy's,Dining,Fast Food,$,3.9,466, Fast food burger chain,551 Boylston St  ,42.350773,-71.076002
Miel,Dining,French,$$,4.2,152, French inspired dining in a chic space,510 Atlantic Ave  ,42.354227,-71.052015
Five Guys,Dining,Fast Food,$$,4.4,1308, Fast food burger & fries chain,58 Summer St  ,42.354407,-71.058711
Alex's Chimis,Dining,Chicken,$,4.4,651, Dominican spot with chicken & sandwiches,358 Centre St  ,42.294791,-71.058323
Legal Test Kitchen,Dining,Seafood,$$$,4.2,894, Upscale seafood chain with cocktails,225 Northern Ave  ,42.348555,-71.038734
Bondir,Dining,American,$$,4.4,117, Intimate nook for farm to table fare,279 Broadway  ,42.390828,-71.037011
House of Siam On Tremont,Dining,Thai,$$,4.1,127, Standby for homestyle Thai cooking,592 Tremont St # 1  ,42.342957,-71.073021
Mela Indian Restaurant,Dining,Indian,$$,3.8,501, Classic Indian cuisine in a modern space,578 Tremont St  ,42.343277,-71.072501
Rosa Mexicano,Dining,Mexican,$$,4.1,1004, Stylish contemporary Mexican restaurant,155 Seaport Blvd  ,42.349697,-71.042811
Silver Slipper Restaurant,Dining,Breakfast,$,4.2,191, Classic spot for Southern breakfasts,2387 Washington St  ,42.329157,-71.085069
Chipotle Mexican Grill,Dining,Mexican,$,4.1,314, Chain for build your own Mexican fare,255 Main St  ,42.377057,-71.066131
Shin Hakata Ramen,Dining,Japanese,$$,4,232, Compact spot for Japanese dishes,173 Massachusetts Ave  ,42.345907,-71.087391
Michael Schlow,Dining,Restaurant,$$,2,1," Intimate, gourmet pizzeria",75 Arlington St #5055  ,42.350697,-71.070361
Sweet Tomatoes Pizza,Dining,Pizza,$,4.1,10, Quick serve standby for Thai cuisine,360 Huntington Ave  ,42.340065,-71.088893
Chipotle Mexican Grill,Dining,Mexican,$,3.9,142, Chain for build your own Mexican fare,8 Park Plaza  ,42.351377,-71.068741
The Merchant Kitchen & Drinks,Dining,American,$$,4.1,475, Stylish American bistro in historic digs,60 Franklin St  ,42.355787,-71.058381
wagamama faneuil hall,Dining,Restaurant,$$,4.2,499," Bustling, Asian inspired canteen chain",1 South Market Street (within Faneuil Hall marketplace  ,42.359614,-71.056035
Au Bon Pain,Dining,Restaurant,$$,3.9,51, Bakery/cafe chain for soups & sandwiches,"Brigham & Womens Hospital, 75 Francis St  ",42.365038,-71.034401
China King,Dining,Chinese,$,4.3,172, Simple eatery for Chinese favorites,60 Beach St  ,42.351427,-71.060131
QDOBA Mexican Eats,Dining,Mexican,$,4.2,187, Counter serve Mexican chain,101 Causeway St  ,42.364877,-71.061851
Cornwall's,Dining,British,$$,4.3,311, British style pub with chill atmosphere,654 Beacon St  ,42.349311,-71.095821
EVOO Restaurant,Dining,New American,$$$,4.2,265, Eclectic locavore dining in stylish digs,350 Third St  ,42.336868,-71.045688
Fin's,Dining,Japanese,$$,4.1,114," Chill, airy sushi stop near BU",636 Beacon St  ,42.349588,-71.095241
Brothers Restaurant,Dining,American,$$,4.2,281, Smart standby for New American eats,404 Harvard St  ,42.290316,-71.091775
The Cheesecake Factory,Dining,Restaurant,$$,4.1,936, American dining chain with jumbo plates,100 Cambridgeside Pl  ,42.367058,-71.076036
Osaka Japanese Sushi & Steak House,Dining,Japanese,$$,4.2,366," Flashy, modern spot for sushi or hibachi",14 Green St  ,42.313127,-71.113181
Sarkis Antreassian Restaurant,Dining,Restaurant,$$,4.1,127, Standby for homestyle Thai cooking,705 Massachusetts Ave  ,42.334887,-71.075451
The Barking Crab,Dining,Crab,$$,4.1,2476," Busy, open air seafood shack",88 Sleeper St  ,42.353912,-71.048577
Double Chin Modern Asian Restaurant,Dining,Asian,$,4.1,418, Green hued space for modern Chinese eats,86 Harrison Ave  ,42.350761,-71.061285
Five Guys,Dining,Fast Food,$$,4.3,401, Fast food burger & fries chain,1223 Commonwealth Avenue  ,42.350745,-71.130971
